Country,Code,Length
Afghanistan,993,9
Åland Islands,358,10
Albania,355,9
Algeria,213,9
American Samoa,1,10
Andorra,376,0
Angola,244,0
Anguilla,1,10
Antigua and Barbuda,1,10
Argentina,54,0
Armenia,374,6
Aruba,297,7
Ascension Island,247,0
Australia,61,9
Australian Antarctic Territory,672,9
Austria,43,10
Austria,43,11
Azerbaijan,994,9
Bahamas,1,10
Bahrain,973,8
Bangladesh,880,10
Barbados,1,10
Belarus,375,9
Belgium,32,9
Belize,501,7
Benin,229,6
Benin,229,7
Benin,229,8
Benin,229,9
Bermuda,1,10
Bhutan,975,0
Bolivia,591,0
Bonaire,599,0
Bosnia and Herzegovina (Bosnia-Herzegovina),387,8
Botswana,267,0
Brazil,55,11
British Indian Ocean Territory,246,7
British Virgin Islands,1,10
Brunei,673,0
Bulgaria,359,0
Bulgaria,359,9
Burkina Faso,226,8
Burma,95,0
Burundi,257,0
Cambodia,855,9
Cameroon,237,0
Canada,1,10
Canary Islands,34,0
Cape Verde,238,0
Cayman Islands,1,10
Central African Republic,236,0
Ceuta,34,0
Chad,235,8
Chagos Islands,246,7
Chile,56,9
People's Republic of China,86,11
People's Republic of China,86,13
Christmas Island,61,0
Cocos (Keeling) Islands,61,0
Colombia,57,10
Comoros,269,0
Republic of Congo,242,0
Democratic Republic of Congo,243,0
Cook Islands,682,5
Costa Rica,506,8
Croatia,385,9
Cuba,53,0
Curaçao,599,0
Curaçao and the Caribbean Netherlands,599,0
Cyprus,357,8
Czech Republic,420,9
Denmark,45,8
Diego Garcia,246,7
Djibouti,253,0
Dominica,1,10
Dominican Republic,1,10
East Timor,670,8
Easter Island,56,0
Ecuador,593,0
Ecuador,593,9
Egypt,20,10
El Salvador,503,8
England,44,10
Equatorial Guinea,240,0
Eritrea,291,0
Estonia,372,0
Ethiopia,251,0
Eswatini,268,8
Falkland Islands,500,5
Faroe Islands,298,5
Federated States of Micronesia,691,7
Fiji,679,0
Finland,358,0
Finland,358,10
France,33,9
French Overseas Departments and Territories,262,0
French Overseas Departments and Territories,508,0
French Overseas Departments and Territories,590,0
French Overseas Departments and Territories,594,0
French Overseas Departments and Territories,596,0
French Guiana,594,9
French Guiana,594,12
French Polynesia,689,6
Gabon,241,7
Gambia,220,0
Georgia,995,9
Germany,49,10
Germany,49,10
Germany,49,11
Ghana,233,9
Gibraltar,350,0
Greece,30,10
Greenland,299,6
Grenada,1,10
Guadeloupe,590,9
Guadeloupe,590,12
Guam,1,10
Guatemala,502,8
Guernsey,44,10
Guinea,224,0
Guinea-Bissau,245,0
Guyana,592,0
Haiti,509,0
Hawaii,1,10
Honduras,504,8
Hong Kong,852,8
Hungary,36,9
Iceland,354,0
India,91,10
Indonesia,62,9
Indonesia,62,10
Indonesia,62,11
Indonesia,62,10
Indonesia,62,9
Iran,98,0
Iran,98,10
Iraq,964,0
Ireland,353,9
Isle of Man,44,10
Israel,972,9
Italy,39,10
Italy,39,13
Italy,39,12
Italy,39,9
Italy,39,10
Italy,39,12
Italy,39,12
Italy,39,12
Ivory Coast,225,0
Jamaica,1,10
Jan Mayen,47,0
Japan,81,11
Jersey,44,10
Jordan,962,0
Kazakhstan,7,10
Kenya,254,10
Kiribati,686,8
Kosovo,383,8
Kuwait,965,8
Kyrgyzstan,996,0
Laos,856,0
Latvia,371,8
Lebanon,961,7
Lebanon,961,8
Lesotho,266,0
Liberia,231,7
Liberia,231,8
Libya,218,10
Liechtenstein,423,0
Lithuania,370,8
Luxembourg,352,9
Macau,853,0
Madagascar,261,0
Madeira,351,0
Malawi,265,0
Malawi,265,0
Malaysia,60,0
Malaysia,60,7
Maldives,960,7
Mali,223,0
Mali,223,8
Malta,356,0
Marshall Islands,692,7
Martinique,596,9
Martinique,596,12
Mauritania,222,0
Mauritius,230,8
Mayotte,262,0
Melilla,34,0
Mexico,52,10
Moldova,373,8
Monaco,377,0
Mongolia,976,8
Montenegro,382,8
Montserrat,1,10
Morocco,212,0
Mozambique,258,0
Myanmar,95,8
Myanmar,95,10
Myanmar,95,9
Artsakh,374,0
Namibia,264,0
Nauru,674,0
Nepal,977,10
Netherlands,31,9
New Caledonia,687,6
New Zealand,64,0
New Zealand,64,8
New Zealand,64,9
New Zealand,64,10
Nicaragua,505,8
Niger,227,8
Nigeria,234,8
Niue,683,4
Norfolk Island,672,6
North Korea,850,0
North Macedonia,389,8
Northern Cyprus,90,7
Northern Cyprus,90,0
Northern Ireland,44,10
Northern Mariana Islands,1,10
Norway,47,8
Oman,968,8
Oman,968,0
Oman,968,0
Pakistan,92,10
Palau,680,7
"Palestine, State of",970,9
"Palestine, State of",972,9
Panama,507,8
Papua New Guinea,675,0
Paraguay,595,9
Peru,51,9
Philippines,63,10
Pitcairn Islands,64,0
Plazas de soberanía,34,0
Poland,48,9
Portugal,351,9
Príncipe,239,0
Puerto Rico,1,10
Qatar,974,8
Réunion,262,9
Réunion,262,12
Romania,40,10
Russia (Russian Federation),7,10
Rwanda,250,0
Saba,599,0
Sahrawi Arab Democratic Republic,212,0
Saint Barthélemy,590,0
Saint Helena and Tristan da Cunha (not Ascenscion),290,4
Saint Kitts and Nevis,1,10
Saint Lucia,1,10
Collectivity of Saint Martin,590,0
Saint Pierre and Miquelon,508,0
Saint Vincent and the Grenadines,1,10
Samoa,685,5
San Marino,378,0
São Tomé and Príncipe,239,0
Saudi Arabia,966,9
Scotland,44,10
Senegal,221,0
Serbia,381,9
Serbia,381,8
Seychelles,248,0
Sierra Leone,232,0
Singapore,65,8
Sint Eustatius,599,0
Sint Maarten,1,10
Slovakia (Slovak Republic),421,9
Slovenia,386,0
Solomon Islands,677,7
Somalia,252,7
Somalia,252,8
South Africa,27,9
South Georgia and the South Sandwich Islands,500,0
South Korea,82,0
South Ossetia,995,0
South Sudan,211,0
Spain,34,9
Sri Lanka,94,7
Sudan,249,0
Suriname,597,0
Svalbard,47,0
Sweden,46,7
Sweden,46,10
Sweden,46,0
Switzerland,41,9
Syria,963,9
Taiwan,886,9
Tajikistan,992,0
Tanzania,255,0
Thailand,66,9
Togo,228,8
Tokelau,690,0
Tonga,676,0
Trinidad and Tobago,1,10
Tristan da Cunha,290,0
Tunisia,216,8
Turkey,90,11
Turkmenistan,993,0
Turks and Caicos Islands,1,10
Tuvalu,688,0
Uganda,256,0
Ukraine,380,9
United Arab Emirates,971,9
United Kingdom,44,10
United States (USA),1,10
United States Virgin Islands,1,10
Uruguay,598,0
Uzbekistan,998,0
Vanuatu,678,0
Vatican City,39,10
Venezuela,58,7
Vietnam,84,9
U.S. Virgin Islands,1,10
Wales,44,10
Wallis and Futuna,681,0
Western Sahara,212,0
Yemen,967,9
Zambia,260,0
Zimbabwe,263,0
